No,Ro,Lv,Part,Type,PN,A
145,3,2,writing,short-single,42,1
146,3,2,writing,long-single,49,3
147,3,2,writing,long-single,50,2
148,3,2,writing,long-single,51,1
149,3,2,writing,long-single,52,2
150,3,2,writing,long-single,53,2
151,3,2,writing,long-single,54,3
152,3,2,writing,long-single,55,2
153,3,2,writing,long-single,57,1
154,3,2,writing,long-single,58,4
155,3,2,writing,long-single,59,1
156,4,1,vocab,short-single,1,2
157,4,1,vocab,short-single,2,1
158,4,1,vocab,short-single,3,3
159,4,1,vocab,short-multi,10,4
160,4,1,vocab,short-multi,11,1
161,4,1,vocab,short-multi,12,4
162,4,1,vocab,short-multi,13,1
163,4,1,vocab,short-single,16,3
164,4,1,vocab,short-single,17,2
165,4,1,vocab,short-multi,19,1
166,4,1,vocab,short-multi,20,2
167,4,1,vocab,short-multi,21,4
168,4,1,vocab,short-multi,22,2
169,4,1,vocab,long-multi,25,2
170,4,1,vocab,long-multi,26,1
171,4,1,vocab,long-multi,27,4
172,4,1,vocab,long-multi,28,3
173,4,1,vocab,long-multi,29,3
174,4,1,vocab,long-multi,30,1
175,4,1,writing,short-multi,31,4
176,4,1,writing,short-multi,32,3
177,4,1,writing,short-multi,33,1
178,4,1,writing,short-multi,34,2
179,4,1,writing,short-multi,35,1
180,4,1,writing,short-multi,36,2
181,4,1,writing,short-multi,37,1
182,4,1,writing,short-multi,38,3
183,4,1,writing,short-multi,39,2
184,4,1,writing,short-multi,40,4
185,4,1,writing,short-multi,41,3
186,4,1,writing,short-multi,42,3
187,4,1,writing,short-multi,43,2
188,4,1,writing,short-multi,44,1
189,4,1,writing,short-multi,45,1
190,4,1,writing,long-multi,46,2
191,4,1,writing,long-multi,47,2
192,4,1,writing,long-multi,48,3
193,4,1,writing,long-multi,49,3
194,4,1,writing,long-multi,57,1
195,4,1,writing,long-multi,58,4
196,4,1,writing,long-multi,59,3
197,4,1,writing,long-multi,60,4
198,4,1,reading,short-single,36,3
199,4,1,reading,short-single,37,1
200,4,1,reading,short-single,38,2
201,4,1,reading,short-single,39,2
202,4,1,reading,long-single,42,1
203,4,1,reading,long-single,48,1
204,4,1,reading,long-single,52,2
205,4,1,reading,long-single,54,2
206,4,1,reading,long-single,56,3
207,4,2,vocab,short-multi,6,2
208,4,2,vocab,short-multi,7,2
209,4,2,vocab,short-multi,8,1
210,4,2,vocab,short-multi,9,1
211,4,2,vocab,short-single,10,2
212,4,2,vocab,short-single,11,4
213,4,2,vocab,short-single,12,2
214,4,2,vocab,short-single,13,1
215,4,2,vocab,short-single,14,3
216,4,2,vocab,short-single,15,1
217,4,2,vocab,short-single,16,4
218,4,2,vocab,short-single,17,3
219,4,2,vocab,short-single,18,3
220,4,2,vocab,short-multi,19,1
221,4,2,vocab,long-single,29,3
222,4,2,writing,short-multi,31,4
223,4,2,writing,short-multi,32,1
224,4,2,writing,short-multi,33,4
225,4,2,writing,short-multi,34,3
226,4,2,writing,short-multi,35,4
227,4,2,writing,short-multi,36,2
228,4,2,writing,short-multi,37,4
229,4,2,writing,short-multi,38,2
230,4,2,writing,short-single,39,2
231,4,2,writing,short-single,40,3
232,4,2,writing,short-single,41,1
233,4,2,writing,short-single,42,1
234,4,2,writing,short-single,43,4
235,4,2,writing,short-multi,53,2
236,4,2,writing,short-multi,54,3
237,4,2,writing,short-single,55,4
238,4,2,writing,long-single,56,1
239,4,2,writing,long-single,57,2
240,4,2,writing,long-single,58,3
241,4,2,writing,long-single,59,2
242,4,2,reading,long-single,53,3
243,4,2,reading,long-single,56,1
244,5,1,vocab,short-multi,4,4
245,5,1,vocab,short-multi,5,2
246,5,1,vocab,short-multi,6,4
247,5,1,vocab,short-multi,10,2
248,5,1,vocab,short-multi,11,1
249,5,1,vocab,short-single,12,1
250,5,1,vocab,short-single,14,1
251,5,1,vocab,short-multi,15,2
252,5,1,vocab,short-multi,16,4
253,5,1,vocab,short-multi,17,3
254,5,1,vocab,long-multi,28,3
255,5,1,vocab,long-multi,30,3
256,5,1,writing,short-multi,31,3
257,5,1,writing,short-multi,32,2
258,5,1,writing,short-multi,33,3
259,5,1,writing,short-multi,34,2
260,5,1,writing,short-multi,35,1
261,5,1,writing,short-multi,36,1
262,5,1,writing,short-multi,37,4
263,5,1,writing,short-multi,38,1
264,5,1,writing,short-multi,39,4
265,5,1,writing,short-multi,40,3
266,5,1,writing,short-multi,41,2
267,5,1,writing,short-multi,42,3
268,5,1,writing,short-single,51,3
269,5,1,writing,short-single,52,1
270,5,1,writing,short-single,53,1
271,5,1,writing,short-single,54,1
272,5,1,writing,long-multi,55,2
273,5,1,writing,long-multi,56,4
274,5,1,writing,long-multi,57,1
275,5,1,writing,long-multi,58,1
276,5,1,writing,long-multi,59,2
277,5,1,writing,long-multi,60,1
278,5,1,reading,long-single,46,4
279,5,1,reading,long-single,50,3
280,5,1,reading,long-single,59,1
281,5,2,vocab,short-multi,1,3
282,5,2,vocab,short-multi,2,4
283,5,2,vocab,short-multi,3,2
284,5,2,vocab,short-multi,4,1
285,5,2,vocab,short-multi,5,3
286,5,2,vocab,short-multi,9,3
287,5,2,vocab,short-multi,10,4
288,5,2,vocab,short-multi,11,1
289,5,2,vocab,short-multi,12,3
290,5,2,vocab,short-multi,13,4
291,5,2,vocab,short-multi,14,4
292,5,2,vocab,short-multi,15,2
293,5,2,vocab,short-single,16,4
294,5,2,vocab,short-single,17,2
295,5,2,vocab,short-single,18,3
296,5,2,vocab,short-single,19,2
297,5,2,vocab,short-single,20,1
298,5,2,vocab,long-multi,24,1
299,5,2,vocab,long-multi,26,1
300,5,2,vocab,long-multi,27,4
301,5,2,vocab,long-multi,28,4
302,5,2,vocab,long-multi,30,3
303,5,2,writing,short-multi,31,2
304,5,2,writing,short-multi,32,1
305,5,2,writing,short-multi,33,3
306,5,2,writing,short-multi,34,1
307,5,2,writing,short-multi,35,3
308,5,2,writing,short-multi,36,1
309,5,2,writing,short-multi,37,1
310,5,2,writing,short-multi,38,3
311,5,2,writing,short-single,39,3
312,5,2,writing,short-single,40,4
313,5,2,writing,short-single,41,1
314,5,2,writing,short-single,42,2
315,5,2,writing,short-multi,49,1
316,5,2,writing,short-multi,50,2
317,5,2,writing,short-single,51,4
318,5,2,writing,short-single,52,3
319,5,2,writing,long-multi,53,2
320,5,2,writing,long-multi,54,3
321,5,2,writing,long-single,58,4
322,5,2,writing,long-single,59,2
323,5,2,writing,long-single,60,3
324,5,2,reading,short-single,36,2
325,5,2,reading,short-single,37,1
326,5,2,reading,short-single,38,4
327,5,2,reading,short-single,39,3
328,5,2,reading,long-single,50,2
329,5,2,reading,long-single,55,2
330,5,2,reading,long-single,59,3
331,6,1,vocab,short-multi,4,2
332,6,1,vocab,short-multi,5,1
333,6,1,vocab,short-multi,6,2
334,6,1,vocab,short-single,7,3
335,6,1,vocab,short-single,8,4
336,6,1,vocab,short-single,9,2
337,6,1,vocab,short-single,13,3
338,6,1,vocab,short-single,14,4
339,6,1,vocab,short-multi,16,3
340,6,1,vocab,short-multi,17,4
341,6,1,vocab,short-multi,18,3
342,6,1,vocab,short-multi,19,1
343,6,1,vocab,short-multi,20,4
344,6,1,vocab,short-multi,21,1
345,6,1,vocab,short-multi,22,3
346,6,1,vocab,short-multi,23,1
347,6,1,vocab,short-multi,24,4
348,6,1,vocab,long-multi,25,3
349,6,1,vocab,long-multi,27,2
350,6,1,vocab,long-multi,28,1
351,6,1,vocab,long-multi,29,4
352,6,1,writing,short-multi,31,1
353,6,1,writing,short-multi,32,4
354,6,1,writing,short-multi,33,2
355,6,1,writing,short-multi,34,2
356,6,1,writing,short-multi,35,1
357,6,1,writing,short-multi,36,1
358,6,1,writing,short-multi,37,3
359,6,1,writing,short-multi,38,4
360,6,1,writing,short-multi,39,3
361,6,1,writing,short-multi,40,1
362,6,1,writing,short-multi,41,4
363,6,1,writing,short-multi,42,2
364,6,1,writing,short-multi,43,3
365,6,1,writing,short-multi,44,1
366,6,1,writing,short-single,51,4
367,6,1,writing,short-single,52,3
368,6,1,writing,short-single,53,1
369,6,1,writing,short-single,54,3
370,6,1,writing,long-multi,55,1
371,6,1,writing,long-multi,56,2
372,6,1,writing,long-multi,57,2
373,6,1,writing,long-multi,58,1
374,6,1,reading,short-single,37,4
375,6,1,reading,short-single,38,3
376,6,1,reading,short-single,39,2
377,6,1,reading,short-single,40,3
378,6,1,reading,long-single,49,3
379,6,1,reading,long-single,52,1
380,6,1,reading,long-single,59,2
381,6,2,vocab,short-multi,1,3
382,6,2,vocab,short-multi,2,1
383,6,2,vocab,short-multi,3,2
384,6,2,vocab,short-multi,4,1
385,6,2,vocab,short-multi,5,1
386,6,2,vocab,short-multi,9,1
387,6,2,vocab,short-multi,10,2
388,6,2,vocab,short-multi,11,4
389,6,2,vocab,short-single,12,3
390,6,2,vocab,short-single,13,4
391,6,2,vocab,short-single,14,2
392,6,2,vocab,short-multi,15,1
393,6,2,vocab,short-multi,16,4
394,6,2,vocab,short-multi,17,3
395,6,2,vocab,short-multi,18,4
396,6,2,vocab,short-multi,19,3
397,6,2,vocab,short-multi,20,4
398,6,2,vocab,short-multi,21,2
399,6,2,vocab,short-multi,22,3
400,6,2,vocab,long-multi,26,3
401,6,2,vocab,long-single,29,4
402,6,2,writing,short-multi,31,1
403,6,2,writing,short-multi,32,2
404,6,2,writing,short-multi,33,2
405,6,2,writing,short-multi,34,2
406,6,2,writing,short-multi,35,2
407,6,2,writing,short-multi,36,3
408,6,2,writing,short-multi,37,4
409,6,2,writing,short-multi,38,4
410,6,2,writing,short-multi,39,3
411,6,2,writing,short-multi,40,4
412,6,2,writing,short-multi,41,4
413,6,2,writing,short-multi,42,2
414,6,2,writing,short-multi,43,3
415,6,2,writing,short-multi,44,4
416,6,2,writing,long-multi,55,3
417,6,2,writing,long-multi,56,4
418,6,2,writing,long-multi,57,2
419,6,2,writing,long-multi,58,3
420,6,2,writing,long-single,59,1
421,6,2,writing,long-single,60,2
422,6,2,reading,short-single,37,4
423,6,2,reading,short-single,38,4
424,6,2,reading,short-single,39,2
425,6,2,reading,long-single,50,4
426,6,2,reading,long-single,53,4
427,6,2,reading,long-single,59,1
428,7,1,vocab,short-multi,4,1
429,7,1,vocab,short-multi,5,2
430,7,1,vocab,short-multi,6,1
431,7,1,vocab,short-single,10,4
432,7,1,vocab,short-single,11,2
433,7,1,vocab,short-single,12,4
434,7,1,vocab,short-single,13,1
435,7,1,vocab,short-multi,15,3
436,7,1,vocab,short-multi,16,1
437,7,1,vocab,short-multi,17,1
438,7,1,vocab,short-multi,18,1
439,7,1,vocab,short-multi,19,2
440,7,1,vocab,short-multi,20,4
441,7,1,vocab,short-multi,21,4
442,7,1,vocab,short-multi,22,2
443,7,1,vocab,short-multi,23,4
444,7,1,vocab,short-multi,24,3
445,7,1,vocab,long-multi,25,2
446,7,1,vocab,long-multi,26,3
447,7,1,vocab,long-multi,28,2
448,7,1,vocab,long-multi,30,4
449,7,1,writing,short-multi,31,2
450,7,1,writing,short-multi,32,3
451,7,1,writing,short-multi,33,1
452,7,1,writing,short-multi,34,1
453,7,1,writing,short-multi,35,3
454,7,1,writing,short-multi,36,2
455,7,1,writing,short-multi,37,3
456,7,1,writing,short-multi,38,4
457,7,1,writing,short-multi,39,4
458,7,1,writing,short-multi,40,4
459,7,1,writing,short-multi,41,3
460,7,1,writing,short-multi,42,1
461,7,1,writing,short-multi,43,4
462,7,1,writing,short-multi,44,3
463,7,1,writing,short-multi,45,3
464,7,1,writing,short-single,51,1
465,7,1,writing,short-single,52,4
466,7,1,writing,short-single,53,1
467,7,1,writing,short-single,54,3
468,7,1,writing,long-multi,57,2
469,7,1,writing,long-multi,58,4
470,7,1,writing,long-multi,59,2
471,7,1,writing,long-multi,60,2
472,7,1,reading,short-single,36,1
473,7,1,reading,short-single,37,1
474,7,1,reading,short-single,38,2
475,7,1,reading,short-single,39,4
476,7,1,reading,long-single,53,2
477,7,1,reading,long-single,55,1
478,7,2,reading,short-single,36,4
479,7,2,reading,short-single,37,3
480,7,2,reading,short-single,38,1
481,7,2,reading,short-single,39,4
482,7,2,reading,long-single,52,3
483,7,2,reading,long-single,57,4
484,7,2,vocab,short-multi,1,4
485,7,2,vocab,short-multi,2,2
486,7,2,vocab,short-multi,3,4
487,7,2,vocab,short-multi,4,2
488,7,2,vocab,short-multi,5,3
489,7,2,vocab,short-multi,6,3
490,7,2,vocab,short-multi,7,1
491,7,2,vocab,short-multi,8,4
492,7,2,vocab,short-single,12,2
493,7,2,vocab,short-single,13,3
494,7,2,vocab,short-multi,14,3
495,7,2,vocab,short-multi,15,1
496,7,2,vocab,short-multi,16,1
497,7,2,vocab,short-multi,17,4
498,7,2,vocab,short-multi,18,1
499,7,2,vocab,short-multi,19,1
500,7,2,vocab,short-multi,20,4
501,7,2,vocab,short-multi,21,1
502,7,2,vocab,long-multi,25,3
503,7,2,vocab,long-multi,27,4
504,7,2,vocab,long-single,29,2
505,7,2,writing,short-multi,31,2
506,7,2,writing,short-multi,32,1
507,7,2,writing,short-multi,33,3
508,7,2,writing,short-multi,34,4
509,7,2,writing,short-multi,35,3
510,7,2,writing,short-multi,36,3
511,7,2,writing,short-multi,37,1
512,7,2,writing,short-multi,38,2
513,7,2,writing,short-multi,39,1
514,7,2,writing,short-multi,40,4
515,7,2,writing,short-multi,45,1
516,7,2,writing,short-multi,46,1
517,7,2,writing,short-multi,47,3
518,7,2,writing,short-multi,48,4
519,7,2,writing,long-multi,53,4
520,7,2,writing,long-multi,54,1
521,7,2,writing,long-multi,55,3
522,7,2,writing,long-multi,56,4
523,7,2,writing,long-single,57,1
524,7,2,writing,long-single,58,3
525,7,2,writing,long-single,59,2
526,7,2,writing,long-single,60,3
527,8,1,reading,short-single,36,2
528,8,1,reading,short-single,37,1
529,8,1,reading,short-single,38,3
530,8,1,reading,short-single,39,4
531,8,1,reading,long-single,49,3
532,8,1,reading,long-single,53,1
533,8,1,vocab,short-multi,4,1
534,8,1,vocab,short-multi,5,3
535,8,1,vocab,short-multi,6,2
536,8,1,vocab,short-single,10,4
537,8,1,vocab,short-single,11,2
538,8,1,vocab,short-multi,12,3
539,8,1,vocab,short-single,13,2
540,8,1,vocab,short-single,14,4
541,8,1,vocab,short-single,15,3
542,8,1,vocab,short-multi,16,2
543,8,1,vocab,short-multi,17,4
544,8,1,vocab,short-multi,18,1
545,8,1,vocab,short-multi,19,4
546,8,1,vocab,short-multi,20,3
547,8,1,vocab,short-multi,21,1
548,8,1,vocab,long-multi,26,2
549,8,1,vocab,long-multi,27,1
550,8,1,vocab,long-multi,28,4
551,8,1,vocab,long-multi,29,3
552,8,1,writing,short-multi,31,1
553,8,1,writing,short-multi,32,2
554,8,1,writing,short-multi,33,3
555,8,1,writing,short-multi,34,1
556,8,1,writing,short-multi,35,3
557,8,1,writing,short-multi,36,4
558,8,1,writing,short-multi,37,3
559,8,1,writing,short-multi,38,1
560,8,1,writing,short-multi,39,4
561,8,1,writing,short-multi,40,3
562,8,1,writing,short-multi,41,2
563,8,1,writing,short-multi,42,2
564,8,1,writing,short-multi,43,4
565,8,1,writing,short-multi,44,2
566,8,1,writing,short-multi,45,2
567,8,1,writing,short-single,51,2
568,8,1,writing,short-single,52,4
569,8,1,writing,short-single,53,3
570,8,1,writing,short-single,54,1
571,8,1,writing,long-multi,57,3
572,8,1,writing,long-multi,58,4
573,8,1,writing,long-multi,59,3
574,8,1,writing,long-multi,60,2
575,8,2,reading,short-single,36,1
576,8,2,reading,short-single,37,1
577,8,2,reading,short-single,38,4
578,8,2,reading,short-single,39,3
579,8,2,reading,long-single,55,4
580,8,2,reading,long-single,59,4
581,8,2,vocab,short-multi,1,4
582,8,2,vocab,short-multi,2,1
583,8,2,vocab,short-multi,3,2
584,8,2,vocab,short-multi,4,4
585,8,2,vocab,short-single,12,3
586,8,2,vocab,short-single,13,2
587,8,2,vocab,short-single,14,1
588,8,2,vocab,short-single,15,4
589,8,2,vocab,short-multi,16,3
590,8,2,vocab,short-multi,17,3
591,8,2,vocab,short-multi,18,1
592,8,2,vocab,short-multi,19,3
593,8,2,vocab,short-multi,20,2
594,8,2,vocab,short-multi,21,4
595,8,2,vocab,long-multi,27,2
596,8,2,vocab,long-single,29,1
597,8,2,vocab,long-single,30,2
598,8,2,writing,short-multi,31,2
599,8,2,writing,short-multi,32,2
600,8,2,writing,short-multi,33,4
601,8,2,writing,short-multi,34,2
602,8,2,writing,short-multi,35,3
603,8,2,writing,short-multi,36,3
604,8,2,writing,short-multi,37,3
605,8,2,writing,short-multi,38,4
606,8,2,writing,short-multi,39,2
607,8,2,writing,short-multi,40,4
608,8,2,writing,short-multi,45,4
609,8,2,writing,short-multi,46,1
610,8,2,writing,short-multi,47,3
611,8,2,writing,short-multi,48,2
612,8,2,writing,long-multi,53,1
613,8,2,writing,long-multi,54,1
614,8,2,writing,long-multi,55,4
615,8,2,writing,long-multi,56,1
616,8,2,writing,long-single,57,3
617,8,2,writing,long-single,59,2
618,8,2,writing,long-single,60,4
619,9,1,reading,short-single,36,4
620,9,1,reading,short-single,37,3
621,9,1,reading,short-single,38,4
622,9,1,reading,short-single,39,4
623,9,1,reading,long-single,55,3
624,9,1,reading,long-single,57,1
625,9,1,vocab,short-multi,4,2
626,9,1,vocab,short-multi,5,3
627,9,1,vocab,short-multi,6,3
628,9,1,vocab,short-single,10,2
629,9,1,vocab,short-single,11,3
630,9,1,vocab,short-single,12,3
631,9,1,vocab,short-single,13,2
632,9,1,vocab,short-single,14,3
633,9,1,vocab,short-single,15,1
634,9,1,vocab,short-single,16,1
635,9,1,vocab,short-multi,17,3
636,9,1,vocab,short-multi,18,3
637,9,1,vocab,short-multi,19,1
638,9,1,vocab,short-multi,20,4
639,9,1,vocab,short-multi,21,2
640,9,1,vocab,short-multi,22,4
641,9,1,vocab,short-multi,23,1
642,9,1,vocab,short-multi,24,3
643,9,1,vocab,long-multi,26,1
644,9,1,vocab,long-multi,27,4
645,9,1,vocab,long-multi,28,3
646,9,1,vocab,long-multi,30,4
647,9,1,writing,short-multi,31,1
648,9,1,writing,short-multi,32,1
649,9,1,writing,short-multi,33,4
650,9,1,writing,short-multi,34,4
651,9,1,writing,short-multi,35,3
652,9,1,writing,short-multi,36,2
653,9,1,writing,short-multi,37,2
654,9,1,writing,short-multi,38,4
655,9,1,writing,short-multi,39,4
656,9,1,writing,short-multi,40,4
657,9,1,writing,short-multi,41,3
658,9,1,writing,short-multi,42,2
659,9,1,writing,short-multi,43,3
660,9,1,writing,short-multi,44,2
661,9,1,writing,short-multi,45,4
662,9,1,writing,short-single,51,3
663,9,1,writing,short-single,52,2
664,9,1,writing,short-single,53,1
665,9,1,writing,short-single,54,2
666,9,1,writing,long-multi,57,3
667,9,1,writing,long-multi,58,3
668,9,1,writing,long-multi,59,4
669,9,1,writing,long-multi,60,3
670,9,2,reading,short-single,36,4
671,9,2,reading,short-single,37,1
672,9,2,reading,short-single,38,1
673,9,2,reading,short-single,39,3
674,9,2,reading,long-single,57,2
675,9,2,vocab,short-multi,1,2
676,9,2,vocab,short-multi,2,4
677,9,2,vocab,short-multi,3,4
678,9,2,vocab,short-multi,4,2
679,9,2,vocab,short-multi,5,1
680,9,2,vocab,short-multi,6,2
681,9,2,vocab,short-multi,7,3
682,9,2,vocab,short-single,12,2
683,9,2,vocab,short-single,13,2
684,9,2,vocab,short-single,14,1
685,9,2,vocab,short-single,15,1
686,9,2,vocab,short-single,16,2
687,9,2,vocab,short-multi,17,4
688,9,2,vocab,short-multi,18,4
689,9,2,vocab,short-multi,19,4
690,9,2,vocab,short-multi,20,3
691,9,2,vocab,short-multi,21,2
692,9,2,vocab,long-multi,25,4
693,9,2,vocab,long-multi,26,3
694,9,2,vocab,long-multi,27,4
695,9,2,vocab,long-single,29,1
696,9,2,writing,short-multi,31,2
697,9,2,writing,short-multi,32,1
698,9,2,writing,short-multi,33,3
699,9,2,writing,short-multi,34,1
700,9,2,writing,short-multi,35,2
701,9,2,writing,short-multi,36,1
702,9,2,writing,short-multi,37,4
703,9,2,writing,short-multi,38,1
704,9,2,writing,short-multi,39,3
705,9,2,writing,short-multi,40,2
706,9,2,writing,short-multi,45,2
707,9,2,writing,short-multi,46,4
708,9,2,writing,short-multi,47,3
709,9,2,writing,short-multi,48,3
710,9,2,writing,long-multi,53,4
711,9,2,writing,long-multi,54,4
712,9,2,writing,long-multi,55,2
713,9,2,writing,long-multi,56,2
714,9,2,writing,long-multi,57,3
715,9,2,writing,long-multi,58,4
716,9,2,writing,long-multi,59,3
717,9,2,writing,long-multi,60,4
718,10,novice,reading,short-single,37,4
719,10,novice,reading,short-single,38,2
720,10,novice,reading,short-single,39,2
721,10,novice,reading,short-single,40,1
722,10,novice,reading,long-single,53,4
723,10,novice,reading,long-single,59,2
724,10,novice,vocab,short-multi,3,1
725,10,novice,vocab,short-multi,4,2
726,10,novice,vocab,short-multi,5,1
727,10,novice,vocab,short-multi,7,1
728,10,novice,vocab,short-multi,8,4
729,10,novice,vocab,short-single,9,2
730,10,novice,vocab,short-single,10,1
731,10,novice,vocab,short-single,11,3
732,10,novice,vocab,short-single,12,1
733,10,novice,vocab,short-single,13,3
734,10,novice,vocab,short-single,14,4
735,10,novice,vocab,short-single,15,1
736,10,novice,vocab,short-multi,16,3
737,10,novice,vocab,short-multi,17,3
738,10,novice,vocab,short-multi,18,4
739,10,novice,vocab,short-multi,19,2
740,10,novice,vocab,short-multi,20,4
741,10,novice,vocab,short-multi,21,2
742,10,novice,vocab,short-multi,22,4
743,10,novice,vocab,long-multi,25,2
744,10,novice,vocab,long-multi,26,3
745,10,novice,vocab,long-multi,27,1
746,10,novice,vocab,long-multi,28,3
747,10,novice,vocab,long-multi,29,2
748,10,novice,vocab,long-multi,30,4
749,10,novice,writing,short-multi,31,3
750,10,novice,writing,short-multi,32,2
751,10,novice,writing,short-multi,33,1
752,10,novice,writing,short-multi,34,4
753,10,novice,writing,short-multi,35,4
754,10,novice,writing,long-single,38,3
755,11,novice,reading,short-single,37,1
756,11,novice,reading,short-single,38,3
757,11,novice,reading,short-single,39,1
758,11,novice,reading,short-single,40,2
759,11,novice,reading,long-single,51,2
760,11,novice,reading,long-single,57,2
761,11,novice,vocab,short-multi,3,1
762,11,novice,vocab,short-multi,4,3
763,11,novice,vocab,short-multi,5,4
764,11,novice,vocab,short-multi,6,4
765,11,novice,vocab,short-multi,8,2
766,11,novice,vocab,short-single,9,2
767,11,novice,vocab,short-single,10,2
768,11,novice,vocab,short-single,11,3
